time,coa_name,iso3,refugees
Dec-22,Belgium,BEL,"63,210"
Dec-22,Bulgaria,BGR,"147,385"
Dec-22,Czechia,CZE,"432,415"
Dec-22,Denmark,DNK,"32,155"
Dec-22,Germany,DEU,"967,715"
Dec-22,Estonia,EST,"38,385"
Dec-22,Ireland,IRL,"69,370"
Dec-22,Greece,GRC,"21,530"
Dec-22,Spain,ESP,"160,995"
Dec-22,France,FRA,"68,430"
Dec-22,Croatia,HRV,"18,970"
Dec-22,Italy,ITA,"145,800"
Dec-22,Cyprus,CYP,"12,610"
Dec-22,Latvia,LVA,"35,865"
Dec-22,Lithuania,LTU,"65,425"
Dec-22,Luxembourg,LUX,"4,655"
Dec-22,Hungary,HUN,"28,905"
Dec-22,Malta,MLT,"1,515"
Dec-22,Netherlands,NLD,"109,640"
Dec-22,Austria,AUT,"87,570"
Dec-22,Poland,POL,"961,340"
Dec-22,Portugal,PRT,"55,920"
Dec-22,Romania,ROU,"100,955"
Dec-22,Slovenia,SVN,"7,675"
Dec-22,Slovakia,SVK,"95,550"
Dec-22,Finland,FIN,"45,215"
Dec-22,Sweden,SWE,"46,295"
Dec-22,Iceland,ISL,"2,315"
Dec-22,Liechtenstein,LIE,385
Dec-22,Norway,NOR,"33,540"
Dec-22,Switzerland,CHE,"62,800"
Dec-23,Belgium,BEL,"74,600"
Dec-23,Bulgaria,BGR,"170,970"
Dec-23,Czechia,CZE,"373,035"
Dec-23,Denmark,DNK,"36,265"
Dec-23,Germany,DEU,"1,251,245"
Dec-23,Estonia,EST,"35,945"
Dec-23,Ireland,IRL,"101,490"
Dec-23,Greece,GRC,"26,850"
Dec-23,Spain,ESP,"194,920"
Dec-23,France,FRA,"64,930"
Dec-23,Croatia,HRV,"23,040"
Dec-23,Italy,ITA,"161,375"
Dec-23,Cyprus,CYP,"19,270"
Dec-23,Latvia,LVA,"43,815"
Dec-23,Lithuania,LTU,"74,955"
Dec-23,Luxembourg,LUX,"4,230"
Dec-23,Hungary,HUN,"33,880"
Dec-23,Malta,MLT,"1,965"
Dec-23,Netherlands,NLD,"145,620"
Dec-23,Austria,AUT,"83,405"
Dec-23,Poland,POL,"954,795"
Dec-23,Portugal,PRT,"58,820"
Dec-23,Romania,ROU,"145,850"
Dec-23,Slovenia,SVN,"8,765"
Dec-23,Slovakia,SVK,"114,225"
Dec-23,Finland,FIN,"64,185"
Dec-23,Sweden,SWE,"43,705"
Dec-23,Iceland,ISL,"3,875"
Dec-23,Liechtenstein,LIE,570
Dec-23,Norway,NOR,"66,940"
Dec-23,Switzerland,CHE,NA
