time,coa_name,refugees,regions
23-Dec,Belgium,74600,Western Europe
23-Dec,Bulgaria,170970,Eastern Europe
23-Dec,Czechia,373035,Eastern Europe
23-Dec,Denmark,36265,Northern Europe
23-Dec,Germany,1251245,Western Europe
23-Dec,Estonia,35945,Eastern Europe
23-Dec,Ireland,101490,Western Europe
23-Dec,Greece,26850,Southern Europe
23-Dec,Spain,194920,Southern Europe
23-Dec,France,64930,Western Europe
23-Dec,Croatia,23040,Eastern Europe
23-Dec,Italy,161375,Southern Europe
23-Dec,Cyprus,19270,Southern Europe
23-Dec,Latvia,43815,Eastern Europe
23-Dec,Lithuania,74955,Eastern Europe
23-Dec,Luxembourg,4230,Western Europe
23-Dec,Hungary,33880,Eastern Europe
23-Dec,Malta,1965,Southern Europe
23-Dec,Netherlands,145620,Western Europe
23-Dec,Austria,83405,Western Europe
23-Dec,Poland,954795,Eastern Europe
23-Dec,Portugal,58820,Southern Europe
23-Dec,Romania,145850,Eastern Europe
23-Dec,Slovenia,8765,Eastern Europe
23-Dec,Slovakia,114225,Eastern Europe
23-Dec,Finland,64185,Northern Europe
23-Dec,Sweden,43705,Northern Europe
23-Dec,Iceland,3875,Northern Europe
23-Dec,Liechtenstein,570,Western Europe
23-Dec,Norway,66940,Northern Europe
23-Dec,Switzerland,NA,Western Europe
